Movimientos Conformados;;;;;
Fecha consulta:;27/04/2020;;;;
Hora consulta:;13:51;;;;
Usuario:;EDUARDO ALEJANDRO QUATTROCCHI;;;;
;;;;;
Par?metros de b?squeda:;Cuenta: 03 - CC $ 00460008727626 | Fecha desde 01/04/2020 hasta 27/04/2020 | Movimiento: D?bitos y Cr?ditos | Monto: Todos los montos;;;;
;;;;;
Fecha Mvto;Fecha Valor;Monto;Referencia;Concepto;Saldo
15/04/2020;15/04/2020;-31,28;0000000214023;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-63,20;0000001107290;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-7,17;0000004169087;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-59,63;0000002434311;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-133,23;0000008192945;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-60,52;0000002620735;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-18,80;0000000223435;GRAVAMEN LEY 25413 S/CRED                         ;
15/04/2020;15/04/2020;-100,97;0000000000688;GRAVAMEN LEY 25413 S/CRED                         ;8.446.029,86
16/04/2020;16/04/2020;31.010,47;0000000643966;CR. TR. FACTURA-SUC 0001                          ;
16/04/2020;16/04/2020;57.355,40;0000008278055;TRANS30680495064BALTZER MARITIMA S. R. L.         ;
16/04/2020;16/04/2020;8.342,28;0000004186605;TRANS30677284958SERVIPRAC SA                      ;
16/04/2020;16/04/2020;10.765,36;0000004181582;TRANS30691552426DOCKA SERVICIOS                   ;
16/04/2020;16/04/2020;53.436,62;0000008288903;TRANS33682452639I.SHIPPING SERVICES ARGENTINA     ;
16/04/2020;16/04/2020;5.845,22;0000002456334;TRANS30716222310DON PARDO E HIJOS SRL             ;
16/04/2020;16/04/2020;2.999,50;0000000213242;CR.TR. VARIOS-V-SUC 0001                          ;
16/04/2020;16/04/2020;7.599,34;0000002462359;TRANS30590578971EXOLGAN S A                       ;
16/04/2020;16/04/2020;499.384,18;0000002463078;TRANS30590578971EXOLGAN S A                       ;
16/04/2020;16/04/2020;27.964,85;0000008338181;TRANS33710487419Logistica y Servicios Maritim     ;
16/04/2020;16/04/2020;9.307,86;0000008339436;TRANS30714422770madero 802 sa                     ;
16/04/2020;16/04/2020;22.718,47;0000008339526;TRANS30709710857Maritima Meridian SA              ;
16/04/2020;16/04/2020;3.937,45;0000008341918;TRANS30610213479STOLT NIELSEN ARGENTINA SA        ;
16/04/2020;16/04/2020;6.541,32;0000008341917;TRANS30610213479STOLT NIELSEN ARGENTINA SA        ;
16/04/2020;16/04/2020;990,97;0000000097580;DEP.P/T.INT.M.M-LINK                              ;
16/04/2020;16/04/2020;17.507,99;0000033728692;TRANS30648986692COSTANERA S.A.                    ;
16/04/2020;16/04/2020;-184,38;0000000097582;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-7,61;0000000097583;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-77,53;0000000643966;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-143,39;0000008278055;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-20,86;0000004186605;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-26,91;0000004181582;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-133,59;0000008288903;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-14,61;0000002456334;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-7,50;0000000213242;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-19,00;0000002462359;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-1.248,46;0000002463078;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-69,91;0000008338181;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-23,27;0000008339436;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-56,80;0000008339526;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-9,84;0000008341918;GRAVAMEN LEY 25413 S/CRED                         ;
16/04/2020;16/04/2020;-16,35;0000008341917;GRAVAMEN LEY 25413 S/CRED                         ;9.209.677,13
17/04/2020;17/04/2020;100.000,00;0000000097598;TR. 20272571792 ROMERO/JUAN MANUEL                ;
17/04/2020;17/04/2020;16.227,70;0000002479489;TRANS30716313146B M AGENCIA MAR TIMA SAS          ;
17/04/2020;17/04/2020;62.166,66;0000008420680;TRANS30506999355Naviera Lojda Hnos. SANCIFIyM     ;
17/04/2020;17/04/2020;3.710,45;0000000667345;CR.TR. VARIOS-V-SUC 0001                          ;
17/04/2020;17/04/2020;8.905,62;0000004235886;TRANS30711500126AGUIRIO MARITIMA                  ;
17/04/2020;17/04/2020;23.378,24;0000000211781;CR.TR. VARIOS-V-SUC 0001                          ;
17/04/2020;17/04/2020;4.325,96;0000000212749;CR.TR. VARIOS-V-SUC 0001                          ;
17/04/2020;17/04/2020;19.654,89;0000002487424;TRANS30680578156DELTA DOCK SA                     ;
17/04/2020;17/04/2020;20.000,00;0000000097608;DEP.P/T.INT.M.M-LINK                              ;
17/04/2020;17/04/2020;-2,48;0000000097610;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-250,00;0000000097611;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-40,57;0000002479489;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-155,42;0000008420680;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-9,28;0000000667345;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-22,26;0000004235886;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-58,45;0000000211781;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-10,81;0000000212749;GRAVAMEN LEY 25413 S/CRED                         ;
17/04/2020;17/04/2020;-49,14;0000002487424;GRAVAMEN LEY 25413 S/CRED                         ;9.467.448,24
20/04/2020;20/04/2020;5.279,06;0000000693392;CR.TR. CUOTAS-C-SUC 0001                          ;
20/04/2020;20/04/2020;45.661,99;0000004033329;TRANS30714357340POTHIMAR TECNOLO                  ;
20/04/2020;20/04/2020;209.364,75;0000000097622;TR. 30708968621 G P MARITIME SERVICES             ;
20/04/2020;20/04/2020;9.647,56;0000002432175;TRANS33711590329TC 2 SA                           ;
20/04/2020;20/04/2020;7.959,63;0000002432676;TRANS30715600664HIPOUTE SA                        ;
20/04/2020;20/04/2020;24.589,66;0000000005371;TRANS30613198918AG MARITIMA MART                  ;
20/04/2020;20/04/2020;38.612,81;0000000005372;TRANS30613198918AG MARITIMA MART                  ;
20/04/2020;20/04/2020;6.204,36;0000000005374;TRANS30715094823MARTIN SHIPPING                   ;
20/04/2020;20/04/2020;8.272,48;0000000005375;TRANS30715094823MARTIN SHIPPING                   ;
20/04/2020;20/04/2020;-523,41;0000000097632;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-50,00;0000000097633;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-13,20;0000000693392;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-114,15;0000004033329;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-24,12;0000002432175;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-19,90;0000002432676;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-61,47;0000000005371;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-96,53;0000000005372;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-15,51;0000000005374;GRAVAMEN LEY 25413 S/CRED                         ;
20/04/2020;20/04/2020;-20,68;0000000005375;GRAVAMEN LEY 25413 S/CRED                         ;9.822.101,57
21/04/2020;21/04/2020;433,38;0000001001504;TRANS30580722772SUPLE SERVICIO EMPRESARIO SA/     ;
21/04/2020;21/04/2020;34.717,01;0000000971862;TRANS30625257251SANTA ROSA ARENAS S R L           ;
21/04/2020;21/04/2020;76.284,85;0000008796785;TRANS30680495064BALTZER MARITIMA S. R. L.         ;
21/04/2020;21/04/2020;73.668,68;0000008800630;TRANS30710279957PLUS ULTRA AMARRES                ;
21/04/2020;21/04/2020;81.253,89;0000001004117;TRANS30693456580OPMAR S.A./ OPMAR                 ;
21/04/2020;21/04/2020;-1,08;0000001001504;GRAVAMEN LEY 25413 S/CRED                         ;
21/04/2020;21/04/2020;-86,79;0000000971862;GRAVAMEN LEY 25413 S/CRED                         ;
21/04/2020;21/04/2020;-190,71;0000008796785;GRAVAMEN LEY 25413 S/CRED                         ;
21/04/2020;21/04/2020;-184,17;0000008800630;GRAVAMEN LEY 25413 S/CRED                         ;
